title,mood
"The Power of Positive Thinking",positive
"Awaken the Giant Within",positive
"Grit: The Power of Passion and Perseverance",positive
"Drive: The Surprising Truth About What Motivates Us",positive
"Happy for No Reason: 7 Steps to Being Happy from the Inside Out",positive
"Feeling Good: The New Mood Therapy",positive
"The Subtle Art of Not Giving a F*ck",negative
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life",negative
"The Art of War",negative
"Brave New World",negative
"1984",negative
"The Catcher in the Rye",negative
"Quiet: The Power of Introverts in a World That Can't Stop Talking",neutral
"The Martian",neutral
"To Kill a Mockingbird",neutral
"The Alchemist",neutral
"Sapiens: A Brief History of Humankind",neutral
"The Road",neutral
"The Hobbit",neutral
"Mad World - Tears for Fears",negative
"Hurt - Johnny Cash",negative
"The Sound of Silence - Simon & Garfunkel",negative
"Creep - Radiohead",negative
"Mad World - Gary Jules",negative
"Everybody Hurts - R.E.M.",negative
"Perfect - Ed Sheeran",neutral
"Imagine - John Lennon",neutral
"Let It Be - The Beatles",neutral
"Bohemian Rhapsody - Queen",neutral
"Wonderwall - Oasis",neutral
"Hotel California - Eagles",neutral
"The Power of Positive Thinking",positive
"Awaken the Giant Within",positive
"Grit: The Power of Passion and Perseverance",positive
"Drive: The Surprising Truth About What Motivates Us",positive
"Happy for No Reason: 7 Steps to Being Happy from the Inside Out",positive
"Feeling Good: The New Mood Therapy",positive
"The Subtle Art of Not Giving a F*ck",negative
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life",negative
"The Art of War",negative
"Brave New World",negative
"1984",negative
"The Catcher in the Rye",negative
"Quiet: The Power of Introverts in a World That Can't Stop Talking",neutral
"The Martian",neutral
"To Kill a Mockingbird",neutral
"The Alchemist",neutral
"Sapiens: A Brief History of Humankind",neutral
"The Road",neutral
"The Hobbit",neutral
"Kadhal Kan Kattudhe - Kaadhale Nimmadhi (Tamil)",positive
"Enna Solla Pogirai - Kandukondain Kandukondain (Tamil)",positive
"Unakaga - Bigil (Tamil)",positive
"Vaseegara - Minnale (Tamil)",positive
"Kannamma - Kaala (Tamil)",positive
"Endhira Logathu Sundariye - 2.0 (Tamil)",positive
"The Subtle Art of Not Giving a F*ck",negative
"Man's Search for Meaning",negative
"Crime and Punishment",negative
"The Great Gatsby",negative
"The Road Less Traveled",negative
"The Da Vinci Code",negative
"Outliers: The Story of Success",positive
"The 7 Habits of Highly Effective People",positive
"Think and Grow Rich",positive
"Rich Dad Poor Dad",positive
"The Lean Startup",positive
"The Innovator's Dilemma",positive
"The Tipping Point",positive
"The Girl with the Dragon Tattoo",negative
"The Shining",negative
"The Silence of the Lambs",negative
"American Psycho",negative
"The Picture of Dorian Gray",negative
"Lord of the Flies",negative
"The Hobbit",neutral
"The Catcher in the Rye",neutral
"Life of Pi",neutral
"The Goldfinch",neutral
"The Name of the Wind",neutral
"Norwegian Wood",neutral
"சித்தன் பெருமான் கதை",positive
"புத்தம் புது வெள்ளம்",positive
"காரணம் வெற்றி",positive
"பேய் முத்து",negative
"உள்ளம் மற்றும் துணை உடை",negative
"பாடினாள் பாடினாள்",negative
"மனைவி",negative
"போல்",neutral
"கோபதி நன்மை",neutral
"நம்பிக்கை மற்றும் உண்மை",neutral

